# of reads,# of items in equivalence class,isoforms in equivalence class
86,4,"ENST00000533464, ENST00000416188, ENST00000413872, ENST00000264555"
85,1,ENST00000528097
85,2,"ENST00000555531, ENST00000396394"
85,1,ENST00000680197
84,7,"ENST00000493230, ENST00000451590, ENST00000468682, ENST00000462734, ENST00000397596, ENST00000417302, ENST00000311189"
84,2,"ENST00000241051, ENST00000311388"
84,1,ENST00000525684
84,1,ENST00000380542
84,1,ENST00000526785
83,2,"ENST00000432887, ENST00000334274"
83,2,"ENST00000254579, ENST00000354685"
83,4,"ENST00000526358, ENST00000318950, ENST00000447399, ENST00000534662"
82,24,"ENST00000680696, ENST00000679380, ENST00000681821, ENST00000681350, ENST00000680802, ENST00000528780, ENST00000680310, ENST00000680870, ENST00000681938, ENST00000679765, ENST00000681180, ENST00000681111, ENST00000681577, ENST00000680855, ENST00000680342, ENST00000328221, ENST00000680938, ENST00000679353, ENST00000680588, ENST00000681761, ENST00000679982, ENST00000680299, ENST00000681702, ENST00000408968"
82,7,"ENST00000428726, ENST00000526669, ENST00000415148, ENST00000433892, ENST00000263398, ENST00000526025, ENST00000425428"
82,10,"ENST00000530813, ENST00000686001, ENST00000685854, ENST00000690068, ENST00000382409, ENST00000527170, ENST00000689835, ENST00000683307, ENST00000692634, ENST00000687329"
81,1,ENST00000425428
81,13,"ENST00000673834, ENST00000403482, ENST00000673626, ENST00000403510, ENST00000673817, ENST00000389707, ENST00000674108, ENST00000673868, ENST00000401424, ENST00000673892, ENST00000529388, ENST00000403290, ENST00000673888"
81,13,"ENST00000636571, ENST00000637915, ENST00000433655, ENST00000678991, ENST00000429746, ENST00000236671, ENST00000637815, ENST00000427721, ENST00000636615, ENST00000636397, ENST00000438213, ENST00000636843, ENST00000367196"
80,3,"ENST00000228136, ENST00000528634, ENST00000524439"
80,5,"ENST00000534147, ENST00000309377, ENST00000309357, ENST00000396648, ENST00000299576"
80,6,"ENST00000433961, ENST00000396847, ENST00000682968, ENST00000684655, ENST00000380034, ENST00000380027"
80,16,"ENST00000445143, ENST00000642928, ENST00000415002, ENST00000525763, ENST00000533181, ENST00000351554, ENST00000651785, ENST00000395850, ENST00000652678, ENST00000437761, ENST00000527577, ENST00000426650, ENST00000651485, ENST00000652086, ENST00000643183, ENST00000533403"
79,8,"ENST00000651785, ENST00000395850, ENST00000642928, ENST00000652678, ENST00000426650, ENST00000651485, ENST00000652086, ENST00000533403"
79,1,ENST00000530401
78,11,"ENST00000380542, ENST00000620138, ENST00000534372, ENST00000430811, ENST00000526115, ENST00000399614, ENST00000532325, ENST00000526842, ENST00000528968, ENST00000530064, ENST00000531291"
78,20,"ENST00000396993, ENST00000532523, ENST00000496834, ENST00000490830, ENST00000465307, ENST00000278243, ENST00000479072, ENST00000493547, ENST00000489571, ENST00000528216, ENST00000469307, ENST00000532017, ENST00000300730, ENST00000464229, ENST00000464906, ENST00000464261, ENST00000396986, ENST00000459679, ENST00000396991, ENST00000463452"
78,2,"ENST00000524896, ENST00000525782"
78,3,"ENST00000263645, ENST00000526072, ENST00000492627"
78,9,"ENST00000636571, ENST00000637915, ENST00000433655, ENST00000678991, ENST00000429746, ENST00000637387, ENST00000236671, ENST00000637815, ENST00000367196"
78,1,ENST00000399817
78,2,"ENST00000534025, ENST00000309134"
77,3,"ENST00000396978, ENST00000396979, ENST00000351018"
77,5,"ENST00000687890, ENST00000687792, ENST00000332231, ENST00000693238, ENST00000448903"
77,7,"ENST00000397594, ENST00000493230, ENST00000451590, ENST00000462734, ENST00000397596, ENST00000417302, ENST00000311189"
77,4,"ENST00000299596, ENST00000524543, ENST00000528080, ENST00000611268"
77,12,"ENST00000396525, ENST00000526148, ENST00000532570, ENST00000530211, ENST00000524932, ENST00000532082, ENST00000527526, ENST00000339995, ENST00000527419, ENST00000528562, ENST00000531416, ENST00000525681"
77,6,"ENST00000299613, ENST00000680141, ENST00000681684, ENST00000530712, ENST00000530175, ENST00000450114"
76,11,"ENST00000636571, ENST00000433655, ENST00000429746, ENST00000678991, ENST00000637387, ENST00000236671, ENST00000637815, ENST00000427721, ENST00000438213, ENST00000636843, ENST00000367196"
76,7,"ENST00000532872, ENST00000530721, ENST00000527446, ENST00000534440, ENST00000278572, ENST00000531188, ENST00000526608"
76,9,"ENST00000531807, ENST00000537760, ENST00000532814, ENST00000532950, ENST00000529237, ENST00000414023, ENST00000256196, ENST00000534746, ENST00000526063"
76,7,"ENST00000651785, ENST00000395850, ENST00000426650, ENST00000642928, ENST00000652678, ENST00000651485, ENST00000652086"
76,2,"ENST00000532820, ENST00000530820"
76,14,"ENST00000680197, ENST00000680344, ENST00000680619, ENST00000681276, ENST00000679962, ENST00000681833, ENST00000616316, ENST00000680081, ENST00000399817, ENST00000680261, ENST00000681810, ENST00000681914, ENST00000681900, ENST00000533141"
75,11,"ENST00000620138, ENST00000380542, ENST00000430811, ENST00000526115, ENST00000399614, ENST00000448187, ENST00000526842, ENST00000528968, ENST00000530064, ENST00000529361, ENST00000531291"
75,7,"ENST00000352303, ENST00000431206, ENST00000532097, ENST00000525665, ENST00000529372, ENST00000528906, ENST00000382671"
75,9,"ENST00000464784, ENST00000481687, ENST00000527343, ENST00000381036, ENST00000526072, ENST00000492252, ENST00000263645, ENST00000475945, ENST00000492627"
75,13,"ENST00000651785, ENST00000445143, ENST00000395850, ENST00000533181, ENST00000642928, ENST00000652678, ENST00000437761, ENST00000426650, ENST00000415002, ENST00000651485, ENST00000652086, ENST00000525763, ENST00000533403"
75,1,ENST00000323213
75,11,"ENST00000405957, ENST00000381775, ENST00000446808, ENST00000432093, ENST00000417766, ENST00000429923, ENST00000311604, ENST00000612798, ENST00000406638, ENST00000451814, ENST00000457279"
75,2,"ENST00000526358, ENST00000318950"
74,7,"ENST00000528815, ENST00000687890, ENST00000332231, ENST00000687792, ENST00000693238, ENST00000528195, ENST00000448903"
74,5,"ENST00000524711, ENST00000323213, ENST00000533439, ENST00000531921, ENST00000531120"
74,1,ENST00000531329
74,3,"ENST00000533233, ENST00000527431, ENST00000379719"
74,8,"ENST00000686001, ENST00000685854, ENST00000690068, ENST00000382409, ENST00000527170, ENST00000683307, ENST00000692634, ENST00000687329"
74,1,ENST00000257829
73,2,"ENST00000409548, ENST00000409655"
72,3,"ENST00000531978, ENST00000532359, ENST00000314138"
72,4,"ENST00000677121, ENST00000651655, ENST00000678993, ENST00000533626"
72,3,"ENST00000257818, ENST00000395833, ENST00000411482"
72,1,ENST00000410108
71,12,"ENST00000525403, ENST00000532990, ENST00000528656, ENST00000532919, ENST00000524822, ENST00000616714, ENST00000300737, ENST00000525055, ENST00000530554, ENST00000527651, ENST00000526596, ENST00000532610"
70,5,"ENST00000647801, ENST00000397566, ENST00000397570, ENST00000532788, ENST00000330243"
70,13,"ENST00000644683, ENST00000682424, ENST00000642892, ENST00000299427, ENST00000647152, ENST00000643439, ENST00000644810, ENST00000533371, ENST00000643342, ENST00000644933, ENST00000645620, ENST00000647209, ENST00000643516"
70,7,"ENST00000448187, ENST00000620138, ENST00000380542, ENST00000430811, ENST00000526115, ENST00000529361, ENST00000399614"
70,2,"ENST00000396197, ENST00000543987"
70,9,"ENST00000530813, ENST00000686001, ENST00000685854, ENST00000690068, ENST00000382409, ENST00000527170, ENST00000689835, ENST00000683307, ENST00000687329"
69,8,"ENST00000614442, ENST00000650127, ENST00000528770, ENST00000526198, ENST00000530636, ENST00000533256, ENST00000318562, ENST00000526909"
69,3,"ENST00000396553, ENST00000444303, ENST00000396554"
69,10,"ENST00000530813, ENST00000685854, ENST00000690068, ENST00000686001, ENST00000382409, ENST00000689835, ENST00000683307, ENST00000529717, ENST00000692634, ENST00000687329"
68,9,"ENST00000322008, ENST00000397421, ENST00000530726, ENST00000530320, ENST00000524748, ENST00000527341, ENST00000526693, ENST00000528011, ENST00000397420"
68,3,"ENST00000526717, ENST00000256196, ENST00000532950"
68,8,"ENST00000438025, ENST00000396847, ENST00000380027, ENST00000412903, ENST00000433961, ENST00000682968, ENST00000684655, ENST00000380034"
67,14,"ENST00000534797, ENST00000529115, ENST00000525701, ENST00000397614, ENST00000529306, ENST00000397615, ENST00000397604, ENST00000533410, ENST00000527485, ENST00000354420, ENST00000529368, ENST00000531149, ENST00000438658, ENST00000356187"
67,8,"ENST00000397004, ENST00000359171, ENST00000355260, ENST00000397007, ENST00000650171, ENST00000529379, ENST00000324932, ENST00000527104"
67,7,"ENST00000299613, ENST00000680141, ENST00000681684, ENST00000524612, ENST00000530712, ENST00000530175, ENST00000450114"
67,2,"ENST00000449352, ENST00000265978"
66,1,ENST00000543445
66,2,"ENST00000265963, ENST00000453096"
66,9,"ENST00000396525, ENST00000526148, ENST00000524932, ENST00000532082, ENST00000527526, ENST00000531416, ENST00000339995, ENST00000532570, ENST00000525681"
66,7,"ENST00000530913, ENST00000530022, ENST00000532359, ENST00000525981, ENST00000526562, ENST00000314138, ENST00000524496"
66,12,"ENST00000278385, ENST00000278386, ENST00000415148, ENST00000433892, ENST00000263398, ENST00000425428, ENST00000526669, ENST00000352818, ENST00000428726, ENST00000279452, ENST00000434472, ENST00000525469"
66,3,"ENST00000534343, ENST00000533907, ENST00000254605"
65,5,"ENST00000397566, ENST00000469048, ENST00000528413, ENST00000330243, ENST00000525445"
65,2,"ENST00000397510, ENST00000397512"
65,3,"ENST00000528865, ENST00000524827, ENST00000323959"
65,4,"ENST00000525074, ENST00000359518, ENST00000345851, ENST00000536344"
65,4,"ENST00000531581, ENST00000300013, ENST00000529318, ENST00000524803"
65,6,"ENST00000323688, ENST00000533773, ENST00000530527, ENST00000529313, ENST00000646648, ENST00000529010"
64,9,"ENST00000405957, ENST00000381775, ENST00000432093, ENST00000417766, ENST00000429923, ENST00000311604, ENST00000612798, ENST00000406638, ENST00000457279"
64,2,"ENST00000389645, ENST00000341394"
64,3,"ENST00000251968, ENST00000580814, ENST00000584526"
64,5,"ENST00000380097, ENST00000380107, ENST00000621176, ENST00000445329, ENST00000278302"
64,9,"ENST00000524851, ENST00000532872, ENST00000534440, ENST00000531188, ENST00000526608, ENST00000526248, ENST00000527446, ENST00000278572, ENST00000525933"
63,4,"ENST00000533540, ENST00000532636, ENST00000534624, ENST00000453788"
63,1,ENST00000278193
63,1,ENST00000532502
63,11,"ENST00000636571, ENST00000637915, ENST00000678991, ENST00000429746, ENST00000637387, ENST00000236671, ENST00000427721, ENST00000636615, ENST00000636397, ENST00000636843, ENST00000367196"
63,11,"ENST00000637915, ENST00000433655, ENST00000678991, ENST00000429746, ENST00000637387, ENST00000236671, ENST00000637815, ENST00000636615, ENST00000636397, ENST00000438213, ENST00000367196"
63,2,"ENST00000526115, ENST00000620138"
62,3,"ENST00000524439, ENST00000525684, ENST00000228136"
62,2,"ENST00000409548, ENST00000409479"
62,1,ENST00000265963
61,8,"ENST00000530181, ENST00000684215, ENST00000533792, ENST00000299492, ENST00000528883, ENST00000534409, ENST00000530081, ENST00000684123"
61,1,ENST00000681684
60,9,"ENST00000620138, ENST00000380542, ENST00000430811, ENST00000526115, ENST00000399614, ENST00000526842, ENST00000528968, ENST00000530064, ENST00000531291"
60,11,"ENST00000681203, ENST00000681158, ENST00000679999, ENST00000530780, ENST00000680252, ENST00000680554, ENST00000328194, ENST00000680294, ENST00000680742, ENST00000679568, ENST00000680470"
60,6,"ENST00000528995, ENST00000396751, ENST00000299421, ENST00000526318, ENST00000537806, ENST00000420936"
59,8,"ENST00000419850, ENST00000396847, ENST00000380027, ENST00000412903, ENST00000433961, ENST00000682968, ENST00000684655, ENST00000380034"
59,5,"ENST00000381514, ENST00000397297, ENST00000397294, ENST00000397298, ENST00000381519"
59,4,"ENST00000684215, ENST00000533792, ENST00000530181, ENST00000299492"
59,6,"ENST00000342245, ENST00000534405, ENST00000526280, ENST00000533123, ENST00000531303, ENST00000527275"
59,4,"ENST00000449793, ENST00000347936, ENST00000380574, ENST00000649076"
59,7,"ENST00000397004, ENST00000359171, ENST00000355260, ENST00000324932, ENST00000397007, ENST00000650171, ENST00000397013"
59,3,"ENST00000320230, ENST00000628067, ENST00000531214"
59,8,"ENST00000680344, ENST00000681833, ENST00000527146, ENST00000616316, ENST00000399817, ENST00000680261, ENST00000681211, ENST00000602569"
59,6,"ENST00000493230, ENST00000451590, ENST00000462734, ENST00000397596, ENST00000417302, ENST00000311189"
59,15,"ENST00000415148, ENST00000526000, ENST00000433892, ENST00000263398, ENST00000525211, ENST00000425428, ENST00000528455, ENST00000442151, ENST00000531873, ENST00000531110, ENST00000527889, ENST00000352818, ENST00000428726, ENST00000279452, ENST00000434472"
59,11,"ENST00000495052, ENST00000542179, ENST00000543445, ENST00000227157, ENST00000541097, ENST00000422447, ENST00000540430, ENST00000396222, ENST00000379412, ENST00000545467, ENST00000478970"
59,2,"ENST00000303296, ENST00000379016"
58,7,"ENST00000524952, ENST00000528815, ENST00000687890, ENST00000332231, ENST00000687792, ENST00000693238, ENST00000448903"
58,20,"ENST00000399808, ENST00000680696, ENST00000408968, ENST00000681840, ENST00000528780, ENST00000681198, ENST00000681938, ENST00000531688, ENST00000679765, ENST00000681180, ENST00000681577, ENST00000328221, ENST00000680938, ENST00000602735, ENST00000680588, ENST00000399815, ENST00000681304, ENST00000526811, ENST00000680209, ENST00000679382"
58,2,"ENST00000527431, ENST00000379719"
58,9,"ENST00000429541, ENST00000354599, ENST00000620374, ENST00000438262, ENST00000005082, ENST00000528410, ENST00000343338, ENST00000399602, ENST00000526601"
58,18,"ENST00000445143, ENST00000642928, ENST00000415002, ENST00000525763, ENST00000351554, ENST00000527926, ENST00000651785, ENST00000395850, ENST00000652678, ENST00000534312, ENST00000528700, ENST00000437761, ENST00000527577, ENST00000426650, ENST00000651485, ENST00000652086, ENST00000643183, ENST00000533403"
58,20,"ENST00000638184, ENST00000640081, ENST00000638376, ENST00000639878, ENST00000638984, ENST00000350638, ENST00000640342, ENST00000639570, ENST00000474374, ENST00000640231, ENST00000640533, ENST00000638482, ENST00000640961, ENST00000395934, ENST00000639097, ENST00000640790, ENST00000379163, ENST00000638347, ENST00000638917, ENST00000640954"
57,6,"ENST00000429801, ENST00000359171, ENST00000355260, ENST00000324932, ENST00000529063, ENST00000650171"
57,11,"ENST00000278385, ENST00000415148, ENST00000433892, ENST00000263398, ENST00000425428, ENST00000442151, ENST00000525688, ENST00000352818, ENST00000428726, ENST00000279452, ENST00000434472"
57,13,"ENST00000644683, ENST00000682424, ENST00000645285, ENST00000642892, ENST00000644218, ENST00000299427, ENST00000647152, ENST00000644810, ENST00000533371, ENST00000644933, ENST00000645620, ENST00000643439, ENST00000643516"
57,6,"ENST00000646065, ENST00000528931, ENST00000256194, ENST00000527546, ENST00000683283, ENST00000675839"
57,7,"ENST00000358872, ENST00000447869, ENST00000444064, ENST00000315204, ENST00000534493, ENST00000396672, ENST00000687296"
57,15,"ENST00000644683, ENST00000682424, ENST00000645285, ENST00000642892, ENST00000644218, ENST00000299427, ENST00000643516, ENST00000647152, ENST00000643439, ENST00000533371, ENST00000645620, ENST00000644933, ENST00000528571, ENST00000647209, ENST00000436873"
56,4,"ENST00000352303, ENST00000529372, ENST00000525665, ENST00000532097"
56,1,ENST00000616316
56,2,"ENST00000396553, ENST00000444303"
56,4,"ENST00000324932, ENST00000650171, ENST00000429801, ENST00000359171"
55,6,"ENST00000397566, ENST00000469048, ENST00000528413, ENST00000532788, ENST00000330243, ENST00000525445"
55,3,"ENST00000399808, ENST00000602735, ENST00000526811"
55,1,ENST00000532203
55,9,"ENST00000614442, ENST00000650127, ENST00000528770, ENST00000526198, ENST00000530636, ENST00000533256, ENST00000318562, ENST00000530452, ENST00000526909"
55,8,"ENST00000438025, ENST00000380259, ENST00000396847, ENST00000380027, ENST00000433961, ENST00000682968, ENST00000684655, ENST00000380034"
54,4,"ENST00000299613, ENST00000530712, ENST00000680141, ENST00000450114"
54,1,ENST00000251968
54,1,ENST00000532820
54,6,"ENST00000611268, ENST00000524543, ENST00000533723, ENST00000299596, ENST00000527813, ENST00000528080"
54,8,"ENST00000454838, ENST00000429789, ENST00000323578, ENST00000531859, ENST00000528581, ENST00000528521, ENST00000436108, ENST00000449825"
54,1,ENST00000534180
53,3,"ENST00000299498, ENST00000533558, ENST00000524790"
53,25,"ENST00000680696, ENST00000679380, ENST00000681350, ENST00000680802, ENST00000528780, ENST00000680699, ENST00000680310, ENST00000680870, ENST00000681938, ENST00000679765, ENST00000681180, ENST00000681111, ENST00000681577, ENST00000680855, ENST00000680342, ENST00000328221, ENST00000680938, ENST00000679353, ENST00000680588, ENST00000681761, ENST00000679982, ENST00000680299, ENST00000681702, ENST00000408968, ENST00000681426"
53,19,"ENST00000638184, ENST00000640081, ENST00000638376, ENST00000639878, ENST00000638984, ENST00000350638, ENST00000640342, ENST00000639570, ENST00000474374, ENST00000640231, ENST00000640533, ENST00000638482, ENST00000640961, ENST00000395934, ENST00000640790, ENST00000379163, ENST00000638347, ENST00000638917, ENST00000640954"
53,5,"ENST00000531581, ENST00000524803, ENST00000300013, ENST00000530180, ENST00000529318"
53,2,"ENST00000397004, ENST00000397007"
53,4,"ENST00000407364, ENST00000303459, ENST00000451385, ENST00000406787"
53,3,"ENST00000396604, ENST00000396602, ENST00000299606"
53,10,"ENST00000636571, ENST00000637915, ENST00000433655, ENST00000678991, ENST00000429746, ENST00000637387, ENST00000236671, ENST00000637815, ENST00000636843, ENST00000367196"
53,6,"ENST00000352303, ENST00000431206, ENST00000382671, ENST00000525665, ENST00000528906, ENST00000532097"
52,4,"ENST00000528011, ENST00000397421, ENST00000397420, ENST00000322008"
52,2,"ENST00000419348, ENST00000451739"
52,4,"ENST00000525108, ENST00000530907, ENST00000528120, ENST00000278174"
52,12,"ENST00000495052, ENST00000542179, ENST00000539814, ENST00000227157, ENST00000422447, ENST00000540430, ENST00000545215, ENST00000396222, ENST00000379412, ENST00000543445, ENST00000478970, ENST00000486690"
52,5,"ENST00000439561, ENST00000534771, ENST00000529866, ENST00000534234, ENST00000249923"
52,1,ENST00000532829
52,1,ENST00000382743
52,5,"ENST00000533256, ENST00000318562, ENST00000614442, ENST00000528770, ENST00000526909"
51,1,ENST00000439561
51,14,"ENST00000352818, ENST00000415148, ENST00000526000, ENST00000433892, ENST00000263398, ENST00000425428, ENST00000528455, ENST00000442151, ENST00000531873, ENST00000527889, ENST00000525211, ENST00000428726, ENST00000279452, ENST00000434472"
51,6,"ENST00000299613, ENST00000680141, ENST00000681684, ENST00000524612, ENST00000530712, ENST00000450114"
51,2,"ENST00000680141, ENST00000450114"
50,6,"ENST00000396197, ENST00000543987, ENST00000535484, ENST00000320750, ENST00000396196, ENST00000379387"
50,11,"ENST00000303459, ENST00000532947, ENST00000407364, ENST00000634627, ENST00000634721, ENST00000437814, ENST00000451385, ENST00000634973, ENST00000406787, ENST00000403099, ENST00000634762"
50,2,"ENST00000349215, ENST00000396253"
50,5,"ENST00000429801, ENST00000359171, ENST00000324932, ENST00000524563, ENST00000650171"
50,4,"ENST00000616316, ENST00000533141, ENST00000680197, ENST00000399815"
49,11,"ENST00000396525, ENST00000526148, ENST00000532570, ENST00000530211, ENST00000524932, ENST00000532082, ENST00000339995, ENST00000527419, ENST00000528562, ENST00000531416, ENST00000525681"
49,5,"ENST00000531037, ENST00000525235, ENST00000614314, ENST00000254584, ENST00000396777"
49,4,"ENST00000278302, ENST00000621176, ENST00000445329, ENST00000380097"
49,1,ENST00000352818
49,1,ENST00000531188
49,7,"ENST00000299613, ENST00000680141, ENST00000527848, ENST00000681684, ENST00000530712, ENST00000530175, ENST00000450114"
49,11,"ENST00000530613, ENST00000527494, ENST00000265965, ENST00000532265, ENST00000532389, ENST00000530925, ENST00000533328, ENST00000524716, ENST00000525422, ENST00000529728, ENST00000528200"
49,4,"ENST00000396553, ENST00000444303, ENST00000529507, ENST00000396554"
48,7,"ENST00000530181, ENST00000684123, ENST00000684215, ENST00000533792, ENST00000534552, ENST00000299492, ENST00000528883"
48,11,"ENST00000495052, ENST00000542179, ENST00000227157, ENST00000422447, ENST00000540430, ENST00000545215, ENST00000396222, ENST00000379412, ENST00000543445, ENST00000478970, ENST00000486690"
48,17,"ENST00000445143, ENST00000642928, ENST00000415002, ENST00000525763, ENST00000533181, ENST00000351554, ENST00000651785, ENST00000395850, ENST00000652678, ENST00000528700, ENST00000437761, ENST00000527577, ENST00000426650, ENST00000651485, ENST00000652086, ENST00000643183, ENST00000533403"
48,5,"ENST00000396197, ENST00000543987, ENST00000535484, ENST00000320750, ENST00000379387"
48,1,ENST00000314222
48,2,"ENST00000465995, ENST00000395949"
48,14,"ENST00000681203, ENST00000681158, ENST00000679999, ENST00000530780, ENST00000680252, ENST00000680554, ENST00000328194, ENST00000528725, ENST00000533737, ENST00000680294, ENST00000680742, ENST00000679568, ENST00000680470, ENST00000530044"
48,6,"ENST00000531037, ENST00000525235, ENST00000614314, ENST00000423813, ENST00000254584, ENST00000396777"
48,5,"ENST00000530457, ENST00000555531, ENST00000533068, ENST00000396394, ENST00000418988"
48,12,"ENST00000454838, ENST00000429789, ENST00000323578, ENST00000531859, ENST00000528426, ENST00000528581, ENST00000533056, ENST00000533059, ENST00000534254, ENST00000530939, ENST00000436108, ENST00000449825"
48,4,"ENST00000531037, ENST00000614314, ENST00000254584, ENST00000396777"
48,5,"ENST00000530541, ENST00000530506, ENST00000527886, ENST00000317204, ENST00000263646"
47,5,"ENST00000524753, ENST00000453096, ENST00000530496, ENST00000265963, ENST00000534641"
47,7,"ENST00000496468, ENST00000333256, ENST00000451491, ENST00000380992, ENST00000437110, ENST00000440813, ENST00000380996"
47,9,"ENST00000534797, ENST00000525701, ENST00000397614, ENST00000529306, ENST00000397615, ENST00000532055, ENST00000527485, ENST00000354420, ENST00000356187"
47,2,"ENST00000676039, ENST00000311604"
46,5,"ENST00000530506, ENST00000527886, ENST00000525159, ENST00000317204, ENST00000263646"
46,6,"ENST00000530751, ENST00000254616, ENST00000639224, ENST00000533379, ENST00000531462, ENST00000640959"
46,7,"ENST00000454838, ENST00000429789, ENST00000323578, ENST00000528426, ENST00000528581, ENST00000436108, ENST00000449825"
46,4,"ENST00000380996, ENST00000333256, ENST00000440813, ENST00000451491"
46,2,"ENST00000527733, ENST00000399455"
45,14,"ENST00000526025, ENST00000278386, ENST00000415148, ENST00000526000, ENST00000433892, ENST00000263398, ENST00000525211, ENST00000425428, ENST00000442151, ENST00000526669, ENST00000352818, ENST00000428726, ENST00000279452, ENST00000434472"
45,8,"ENST00000534801, ENST00000524701, ENST00000278187, ENST00000532398, ENST00000630668, ENST00000533363, ENST00000454584, ENST00000528582"
45,2,"ENST00000531188, ENST00000530721"
45,6,"ENST00000531751, ENST00000531581, ENST00000530436, ENST00000300013, ENST00000529318, ENST00000524803"
45,8,"ENST00000524851, ENST00000532872, ENST00000530721, ENST00000531188, ENST00000526608, ENST00000422465, ENST00000527446, ENST00000278572"
45,3,"ENST00000413761, ENST00000432999, ENST00000526020"
45,1,ENST00000395850
45,3,"ENST00000318950, ENST00000447399, ENST00000534662"
44,10,"ENST00000636571, ENST00000637915, ENST00000433655, ENST00000637387, ENST00000236671, ENST00000637815, ENST00000636615, ENST00000636397, ENST00000438213, ENST00000636843"
44,1,ENST00000446113
44,1,ENST00000524486
44,25,"ENST00000680696, ENST00000679380, ENST00000681821, ENST00000681350, ENST00000680802, ENST00000528780, ENST00000680699, ENST00000680310, ENST00000680870, ENST00000681938, ENST00000679765, ENST00000681180, ENST00000681111, ENST00000681577, ENST00000680855, ENST00000680342, ENST00000328221, ENST00000680938, ENST00000679353, ENST00000680588, ENST00000681761, ENST00000679982, ENST00000680299, ENST00000681702, ENST00000408968"
44,7,"ENST00000529810, ENST00000322008, ENST00000397420, ENST00000528011, ENST00000397421, ENST00000530726, ENST00000524748"
44,8,"ENST00000448981, ENST00000534136, ENST00000531080, ENST00000530401, ENST00000526785, ENST00000532927, ENST00000532057, ENST00000265651"
43,1,ENST00000409548
43,8,"ENST00000515022, ENST00000506134, ENST00000445329, ENST00000278302, ENST00000380107, ENST00000621176, ENST00000507320, ENST00000380097"
43,6,"ENST00000429801, ENST00000359171, ENST00000355260, ENST00000533346, ENST00000324932, ENST00000650171"
43,4,"ENST00000531112, ENST00000414138, ENST00000397582, ENST00000431809"
43,11,"ENST00000644683, ENST00000682424, ENST00000642892, ENST00000299427, ENST00000647152, ENST00000643439, ENST00000644810, ENST00000533371, ENST00000644933, ENST00000645620, ENST00000647209"
43,3,"ENST00000526104, ENST00000527728, ENST00000527696"
43,11,"ENST00000534797, ENST00000529115, ENST00000525701, ENST00000397614, ENST00000529768, ENST00000397615, ENST00000397604, ENST00000533410, ENST00000354420, ENST00000438658, ENST00000356187"
43,5,"ENST00000382762, ENST00000486280, ENST00000410108, ENST00000325147, ENST00000332865"
42,5,"ENST00000524550, ENST00000534603, ENST00000319863, ENST00000465313, ENST00000354286"
42,14,"ENST00000526439, ENST00000529810, ENST00000322008, ENST00000525718, ENST00000397421, ENST00000530726, ENST00000525333, ENST00000524748, ENST00000530320, ENST00000527341, ENST00000526693, ENST00000528867, ENST00000397420, ENST00000528011"
42,4,"ENST00000451590, ENST00000493230, ENST00000417302, ENST00000311189"
42,5,"ENST00000526785, ENST00000448981, ENST00000534136, ENST00000265651, ENST00000530401"
42,6,"ENST00000528107, ENST00000527661, ENST00000432887, ENST00000334274, ENST00000531632, ENST00000528962"
42,4,"ENST00000250024, ENST00000620009, ENST00000532666, ENST00000527884"
42,1,ENST00000526072
42,5,"ENST00000524851, ENST00000530721, ENST00000527446, ENST00000531188, ENST00000422465"
42,10,"ENST00000638184, ENST00000638317, ENST00000640231, ENST00000640081, ENST00000639182, ENST00000640961, ENST00000395934, ENST00000350638, ENST00000379163, ENST00000638917"
42,6,"ENST00000527468, ENST00000325207, ENST00000527696, ENST00000526104, ENST00000530889, ENST00000526982"
41,1,ENST00000319863
41,13,"ENST00000396525, ENST00000526148, ENST00000530211, ENST00000530702, ENST00000524932, ENST00000532082, ENST00000527526, ENST00000531647, ENST00000531416, ENST00000339995, ENST00000528562, ENST00000532570, ENST00000525681"
41,5,"ENST00000525069, ENST00000528117, ENST00000530136, ENST00000309134, ENST00000534025"
41,1,ENST00000527248
40,1,ENST00000354817
40,3,"ENST00000265963, ENST00000525831, ENST00000453096"
40,7,"ENST00000399808, ENST00000681198, ENST00000681304, ENST00000531688, ENST00000680209, ENST00000679382, ENST00000681840"
40,5,"ENST00000531037, ENST00000614314, ENST00000445086, ENST00000254584, ENST00000396777"
40,3,"ENST00000414138, ENST00000397582, ENST00000431809"
40,5,"ENST00000278224, ENST00000380525, ENST00000527330, ENST00000529772, ENST00000397111"
40,4,"ENST00000534686, ENST00000532805, ENST00000334636, ENST00000530609"
40,3,"ENST00000265963, ENST00000534641, ENST00000453096"
40,8,"ENST00000620138, ENST00000380542, ENST00000430811, ENST00000526115, ENST00000399614, ENST00000448187, ENST00000528968, ENST00000529361"
40,18,"ENST00000399808, ENST00000680696, ENST00000408968, ENST00000681840, ENST00000528780, ENST00000681938, ENST00000531688, ENST00000679765, ENST00000681180, ENST00000681577, ENST00000328221, ENST00000602735, ENST00000680588, ENST00000399815, ENST00000681304, ENST00000526811, ENST00000680209, ENST00000679382"
40,3,"ENST00000402157, ENST00000530502, ENST00000646038"
40,1,ENST00000533907
40,4,"ENST00000323959, ENST00000431742, ENST00000438862, ENST00000524775"
40,8,"ENST00000415148, ENST00000433892, ENST00000263398, ENST00000425428, ENST00000526669, ENST00000525211, ENST00000428726, ENST00000526025"
39,7,"ENST00000528723, ENST00000396553, ENST00000529507, ENST00000524866, ENST00000396554, ENST00000534047, ENST00000529834"
